URL,PR page,PR main,IP,Subnet,Server Country,Server Region,Google Index,Google index domain main,Google index URL,Google index URL main,Google cache,Backlinks Ahrefs,Links to this Page,Referring Domains,Text Backlinks,Referring IP Addresses Ahrefs,Class C Subnets,Bing,Yahoo catalog,Backlinks Majesticseo,Referring Domains MajesticSEO,Citation Flow,Trust Flow,Organic Keywords Semrush,Difference SemRush Organic Keywords,DMOZ,Moz Page Authority,Moz Domain Authority,Page MozRank,Page MozTrust,Domain MozRank,Domain MozTrust,Moz Link Count,Alexa Rank,Alexa Rank Local,Alexa Sites Linking,Domain Merge,Google Domain Mentions,Site links,Link Stat,Language,Web.Arch Domain Age,WhoIs Domain Age,Status Code,FB Likes,FB Shares,FB Total,Google +1,Twitter,StumbleUpon,Diggs,Pins,LinkedIn,Rating
http://www.popsci.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.aiche.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://scienceworld.wolfram.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.socresonline.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.aapa.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.gla.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://thediplomat.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.vitae.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://betabeat.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.ivygateblog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.do-it.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.nakedcapitalism.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://econlog.econlib.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://www.actiononhearingloss.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://legalsolutions.thomsonreuters.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
http://cargocollective.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
